ELVIRA, BERMUDEZ, 45 - LUZ BRIGIDA, DELGADO, 81 - SANTA ANA
MARGARITA, MATA, 46 - LETICIA, JIMENEZ, 66 - MONTES DE OCA
DAISY, DIAZ, 22 - EIDA, FONSECA, 20 - MONTES DE OCA
EIDA, ESPELETA, 82 - ALFREDO, MIRANDA, 76 - MONTES DE OCA
MARIA CELINA, MONGE, 27 - ISOLINA, GOMEZ, 68 - MONTES DE OCA
ILUMINADA, CERDAS, 18 - SOCORRO, ARIAS, 63 - ASERRI
ALVARO, FONSECA, 30 - ELENA, SANCHEZ, 42 - ASERRI
LIZANIAS, CASTRO, 53 - ZULAY, CHINCHILLA, 20 - ASERRI
RAMON VICTOR, SALAS, 82 - PEREGRINA CARMEN, MENA, 45 - POCOCI
JORGE ENRIQUE, TAYLOR, 81 - PEREGRINA, VALVERDE, 23 - POCOCI
BAUDILIO, SOLANO, 57 - ISOLINA, BONILLA, 36 - LEON CORTES CASTRO
JUAN GREGORIO, CHACON, 83 - MIGUEL ANGEL, VALVERDE, 79 - MORAVIA
HILDA, CASCANTE, 24 - TALIA, ARIAS, 71 - MORAVIA
MIRIAM, SOTO, 71 - FELICITAS, SOLIS, 83 - MORAVIA
ABEL, AMADOR, 62 - MARGARITA, UMAÑA, 18 - MORAVIA
GONZALO, FALLAS, 79 - OLGA, SABORIO, 72 - MORAVIA
MARIO, ROJAS, 27 - LUCIA, SOTO, 89 - MORAVIA
FLORA, RODO, 61 - ANGELA, QUESADA, 88 - MORAVIA
JUAN, MADRIGAL, 32 - JUAN ALEJANDRO, FERNANDEZ, 60 - DESAMPARADOS
CASIMIRO, PICADO, 40 - RAFAEL ANGEL, CALDERON, 39 - DESAMPARADOS
MARIA, MORA, 58 - LAURELIA, CASTRO, 73 - DESAMPARADOS
OLGA, MONGE, 79 - IRMA, MORALES, 48 - DESAMPARADOS
MARIA ADORACION, SOLANO, 66 - ZOILA, CARRANZA, 71 - DESAMPARADOS
LUZMILDA, MUÑOZ, 32 - ELODIA, SEAS, 33 - DESAMPARADOS
BLANCA ROSA, RETANA, 59 - BERNARDO, MARIN, 53 - DESAMPARADOS
BELARMINA, ZELEDON, 69 - INDALECIO, FALLAS, 47 - DESAMPARADOS
MARGARITA, CHAVES, 89 - MARIA CLEMENCIA, MORA, 63 - DESAMPARADOS
GLADYS, ZAPATA, 55 - MARIA CRISTINA, MONGE, 90 - DESAMPARADOS
MARIA CELINA, SANCHO, 49 - SILVINA, SEGURA, 54 - DESAMPARADOS
ROSARIO, CALDERON, 30 - ELSA, ZUÑIGA, 42 - DESAMPARADOS
RAMON, SANCHEZ, 38 - ISIDRO, JIMENEZ, 60 - PURISCAL
HECTOR, MADRIGAL, 69 - JOSE, ANCHIA, 32 - PURISCAL
CARMELINA, FERNANDEZ, 57 - EVELIA, CASTILLO, 75 - PURISCAL
ELOY, MORA, 77 - MARIA DE LOS ANGELES, AGUILAR, 46 - PURISCAL
CONCEPCION, SALAZAR, 76 - RAMON, JIMENEZ, 46 - PURISCAL
GLORIA MARIA, SALAZAR, 77 - ANANIAS, FERNANDEZ, 25 - PURISCAL
ENRIQUETA, CERDAS, 35 - CELIMA, MORA, 86 - PURISCAL
ESPERANZA, MONTES, 77 - RUDECINDA, MENA, 50 - PURISCAL
MARIA CRISTINA, MENDEZ, 83 - NIEVES, PRADO, 52 - GOICOECHEA
VIRGINIA, CORDERO, 20 - ANA MARIA, CORDERO, 25 - GOICOECHEA
EMMA, HERNANDEZ, 80 - MERCEDES, BONILLA, 48 - GOICOECHEA
ALICIA, NAVARRO, 20 - TRINIDAD, CRUZ, 67 - GOICOECHEA
CONSUELO, GUTIERREZ, 27 - JOAQUINA, TENORIO, 43 - GOICOECHEA
YOLANDA, DURAN, 52 - AMINTA, HIDALGO, 39 - GOICOECHEA
JUAN GUILLERMO, CASTRO, 32 - AMPARO, JARQUIN, 79 - GOICOECHEA
GUILLERMO, AMADOR, 48 - BERTINA, ABARCA, 35 - GOICOECHEA
IRMA DE JESUS, SOLERA, 56 - RICARDO, ACUÑA, 43 - GOICOECHEA
JULIETA, ARDON, 54 - MATIAS, NAVARRO, 27 - GOICOECHEA
ESPERANZA, PALAVICINI, 40 - HILARIA, BLANCO, 26 - GOICOECHEA
FRANCISCO, CORDERO, 29 - MARIA CRISTINA, DIAZ, 60 - GOICOECHEA
ANIBAL, MADRIGAL, 77 - ALBERTO, ODIO, 33 - ESCAZU
MARIA ROSA, RAMIREZ, 75 - ROSARIO, CORRALES, 34 - ESCAZU
OLGA, LEON, 29 - MARIA TERESA, HERRERA, 63 - ESCAZU
GILBERTO, SANDI, 77 - NELLY, HIDALGO, 65 - ESCAZU
MARIA ISABEL, BADILLA, 77 - MIGUEL GUILLERMO, MONTOYA, 45 - ESCAZU
CLEMENCIA, AZOFEIFA, 45 - ELIECER, CHAVES, 86 - ESCAZU
CARMEN, SANDI, 26 - ESPERANZA, DURAN, 79 - TURRIALBA
HERNAN, BARBOZA, 33 - ROSALINA, ROMERO, 26 - TARRAZU
JOAQUIN, NAVARRO, 79 - ARACELLY, ZUÑIGA, 38 - TARRAZU
CLAUDIO, FERNANDEZ, 49 - ALVARO, ZUMBADO, 32 - VAZQUEZ DE CORONADO
JESUS, SALAZAR, 26 - MARIA ROSARIO, CECILIANO, 38 - VAZQUEZ DE CORONADO
AQUILES, AGUERO, 14 - JOSEFA, NAVARRO, 11 - PEREZ ZELEDON
SOCORRO, CAMPOS, 47 - TOBIAS, RIVERA, 60 - PEREZ ZELEDON
BERTILIA, GUILLEN, 20 - CLOTILDE, GUILLEN, 34 - PEREZ ZELEDON
MELIDA, ACUÑA, 61 - NELLY, GUZMAN, 33 - PEREZ ZELEDON
ANITA, SEGURA, 59 - CARIDAD, DURAN, 46 - PEREZ ZELEDON
FAUSTO, SALAZAR, 78 - ELISA DEL ROSARIO, VARGAS, 87 - PEREZ ZELEDON
RAFAEL, JIMENEZ, 36 - RAFAELA, SANCHEZ, 24 - PEREZ ZELEDON
ANANIAS, BURGOS, 60 - ELODIA, JIMENEZ, 35 - PEREZ ZELEDON
GUIDO, ROJAS, 68 - FRANCISCA, VARGAS, 27 - PEREZ ZELEDON
VICTOR MANUEL, ABARCA, 36 - ELIDA, ARIAS, 39 - PEREZ ZELEDON
BENJAMIN, MENA, 86 - ALEJANDRO, DELGADO, 32 - PEREZ ZELEDON
EFRAIN, CHACON, 22 - CARLOS, UMAÑA, 44 - PEREZ ZELEDON
MARIA DE LOS ANGELES, CASTILLO, 87 - ANGELICA, ORTIZ, 87 - PEREZ ZELEDON
ANTONIO, CHINCHILLA, 77 - MARIA LUISA, RETANA, 65 - ALAJUELITA
RAFAEL ANGEL, CHINCHILLA, 67 - JESUS, DELGADO, 64 - ALAJUELITA
JENARIN, PRADO, 86 - AGUSTIN, REYES, 22 - ACOSTA
SOCORRO, PRADO, 20 - ADILIA, MORA, 18 - ACOSTA
DELMIRA, SIBAJA, 89 - MIGUEL, FUENTES, 62 - ACOSTA
PAULINO, ABARCA, 59 - JOSE ANTONIO, PORRAS, 58 - PALMARES
MARIANA, SALAZAR, 80 - ROSARIO, AGUERO, 39 - TIBAS
MELITINA, FLORES, 87 - GRACIELA, CASTRO, 30 - TIBAS
CARMEN LIA, PORRAS, 31 - ELVIRA, MUÑOZ, 78 - PARRITA
JOSE ANTONIO, MOREIRA, 60 - MAGDALENA, PIEDRA, 49 - PARRITA
BEATRIZ, CHINCHILLA, 27 - AURORA, ELIZONDO, 58 - MORA
MARIA CECILIA, PACHECO, 48 - SOCORRO, BARRANTES, 29 - SANTO DOMINGO
RICARDO, ZUÑIGA, 44 - NOEMY, BUSTAMANTE, 80 - BUENOS AIRES
MIGUEL ANGEL, DELGADO, 88 - LUZ MARIA, GONZALEZ, 87 - BELEN
BENEDICTO, RODRIGUEZ, 45 - PIEDADES, GUZMAN, 22 - OSA
JOSE, CALDERON, 75 - ANGELINA, RODRIGUEZ, 81 - SAN RAMON
