JOSE, HIDALGO, PEREZ ZELEDON,  79, M, N
FRANCISCA, MARIN, VAZQUEZ DE CORONADO,  59, F, N
JENARIN, PRADO, ACOSTA,  86, M, M
JUAN, MADRIGAL, DESAMPARADOS,  32, M, M
UJENI AYONI, BEECHER, CENTRAL,  28, F, A
MARIA TERESA, MUÑOZ, CENTRAL,  15, F, F
MARIA ESTER, TAPIA, CENTRAL,  87, F, F
RICARDO, ACUÑA, GOICOECHEA,  43, M, A
MARIA DE LOS ANGELES, AGUILAR, PURISCAL,  46, F, M
BRIGIDA, VALVERDE, TARRAZU,  42, F, N
AMINTA, HIDALGO, GOICOECHEA,  39, F, A
OLGA, VARGAS, CENTRAL,  27, F, F
MARIO, GUERRERO, CENTRAL,  13, M, F
CARLOS ALBERTO, VALVERDE, CENTRAL,  76, M, A
DAISY, QUIROS, TILARAN,  42, F, F
RAFAEL, BEJARANO, ASERRI,  66, M, N
ANIBAL, MADRIGAL, ESCAZU,  77, M, M
BERTILIA, GUILLEN, PEREZ ZELEDON,  20, F, F
AIDA, FALLAS, CENTRAL,  50, F, N
PAULINO, ABARCA, PALMARES,  59, M, A
ROSALIA, ROJAS, OROTINA,  87, F, F
HERNAN, BARBOZA, TARRAZU,  33, M, F
CARMEN, VILLALTA, NANDAYURE,  72, F, F
CARMEN, SOSA, ESCAZU,  17, F, N
ESTEBAN, PRADO, ASERRI,  59, M, N
JUAN MARIA, MORA, CENTRAL,  70, M, N
NIEVES, PRADO, GOICOECHEA,  52, F, F
MARIA CRISTINA, CASTILLO, CENTRAL,  20, F, N
CARLOS LUIS, OVIEDO, CENTRAL,  43, M, A
GUILLERMO FERNANDO, CHAVES, CENTRAL,  13, M, M
MARIO, ESQUIVEL, CENTRAL,  77, M, M
TERESA, MONTERO, CORREDORES,  9, F, N
MELITINA, FLORES, TIBAS,  87, F, A
RAFAEL ANGEL, CALDERON, DESAMPARADOS,  39, M, A
HAYDEE, MORA, CENTRAL,  82, F, M
CONCEPCION, SALAZAR, PURISCAL,  76, F, M
TEODOLINDA, BOLAÑOS, PARRITA,  26, F, A
FELICITAS, SOLIS, MORAVIA,  83, F, A
CLAUDINA, QUESADA, SANTA ANA,  63, F, M
NORA, GONZALEZ, CENTRAL,  9, F, M
ROSA, CASTELLON, CENTRAL,  25, F, N
VIRGINIA, CALDERON, ESCAZU,  44, F, N
JOSE, VINDAS, TIBAS,  31, M, N
OLGA, ALAN, CENTRAL,  78, F, A
CECILIA, OBREGON, CENTRAL,  36, F, F
JUAN PEDRO, RIOS, ABANGARES,  79, M, N
NELLY, VALVERDE, CENTRAL,  57, F, M
DOMINGO, AZOFEIFA, ESPARZA,  86, M, M
SERVANDA, SANCHEZ, CENTRAL,  9, F, F
BAUDILIO, SOLANO, LEON CORTES CASTRO,  57, M, F
ANTONIA, MONGE, GUACIMO,  61, F, F
RAFAEL ANGEL, CHINCHILLA, ALAJUELITA,  67, M, A
MERCEDES, RODRIGUEZ, TIBAS,  12, F, A
ETELVINA, MORA, UPALA,  24, F, F
ESTEBAN, RODRIGUEZ, ESCAZU,  22, M, N
EMILIA, MONTERO, CENTRAL,  83, F, A
DAISY, CARTIN, CURRIDABAT,  29, F, F
MIREYA, CALVO, CENTRAL,  70, F, A
MANUEL, PASTOR, MORA,  20, M, F
MARIA TERESA, MORA, SANTA ANA,  17, F, M
OLGA, MONGE, DESAMPARADOS,  79, F, F
RAMON, JIMENEZ, PURISCAL,  46, M, A
MARIA LUISA, RODRIGUEZ, SANTO DOMINGO,  27, F, M
BERTA, RAMIREZ, SANTA ANA,  29, F, M
OTILIA, ROBLES, SANTA ANA,  12, F, N
YOLANDA, MURILLO, TIBAS,  14, F, N
GRACIELA, CASTRO, TIBAS,  30, F, A
NIDIA, UJUETA, CENTRAL,  12, F, N
SOCORRO, RIOS, CENTRAL,  49, F, M
BERTA, MADRIGAL, DESAMPARADOS,  44, F, N
BLANCA, MORA, DESAMPARADOS,  76, F, N
ANGELINA, ARIAS, CURRIDABAT,  56, F, N
CLIMACO, GUZMAN, SAN ISIDRO,  73, M, M
DELMIRA, SIBAJA, ACOSTA,  89, F, M
MARIA LUISA, SANCHO, CENTRAL,  63, F, M
MARIA CARMEN, CASTRO, CENTRAL,  68, F, A
ANA ISABEL, GONZALEZ, MONTES DE OCA,  90, F, M
FLORA, CASTRO, CENTRAL,  22, F, N
SNEIDA MARIA, BRENES, CENTRAL,  30, F, A
JENNY, RUIZ, CENTRAL,  68, F, N
MARIA ISABEL, AVILA, CENTRAL,  16, F, F
MARIA DEL ROSARIO, CORRALES, LA UNION,  16, F, A
ELODIA, SEAS, DESAMPARADOS,  33, F, A
TOBIAS, RIVERA, PEREZ ZELEDON,  60, M, A
NELLY, PORRAS, DESAMPARADOS,  56, F, M
TELMA, VALVERDE, PARRITA,  85, F, N
VIRGINIA, CORDERO, GOICOECHEA,  20, F, F
EVELIA, CASTILLO, PURISCAL,  75, F, A
FAUSTO, SALAZAR, PEREZ ZELEDON,  78, M, F
ELIDA, ARIAS, PEREZ ZELEDON,  39, F, A
RAMON, SANCHEZ, PURISCAL,  38, M, M
SOCORRO, CAMPOS, PEREZ ZELEDON,  47, M, M
GREGORIO, ARIAS, TURRUBARES,  72, M, M
SERGIO, SALAZAR, GUACIMO,  29, M, F
GUILLERMO, DOBLES, CENTRAL,  29, M, N
FLORA, RETANA, CENTRAL,  21, F, N
MARIA ISABEL, JIMENEZ, CENTRAL,  22, F, F
ELISA DEL ROSARIO, VARGAS, PEREZ ZELEDON,  87, F, M
JUAN GUILLERMO, CASTRO, GOICOECHEA,  32, M, F
MATIAS, NAVARRO, GOICOECHEA,  27, M, A
ENRIQUETA, CERDAS, PURISCAL,  35, F, A
CELIMA, MORA, PURISCAL,  86, F, A
RODOLFO, ACUÑA, CENTRAL,  63, M, F
FRANCISCA, MORALES, CENTRAL,  39, F, N
MARGARITA, MATA, MONTES DE OCA,  46, F, F
SOCORRO, BARRANTES, SANTO DOMINGO,  29, F, A
ARCELIA, HERNANDEZ, CENTRAL,  72, F, N
RITA, HERNANDEZ, CENTRAL,  18, F, M
JACINTA CLARA, CORRALES, CENTRAL,  28, F, M
HAYDEE, SANDI, CURRIDABAT,  9, F, N
LUIS RODRIGO, CALDERON, CORREDORES,  67, M, F
CLOTILDE, GUILLEN, PEREZ ZELEDON,  34, F, F
RAMONA, CAMBRONERO, SIQUIRRES,  34, F, F
MARIA VIRGINIA, ESQUIVEL, SAN RAFAEL,  84, F, M
BRUNILDA, ZUÑIGA, CENTRAL,  71, F, M
ISIDRO, JIMENEZ, PURISCAL,  60, M, M
OLGA, SABORIO, MORAVIA,  72, F, A
ROLANDO, GUTIERREZ, BARVA,  71, M, M
MISAEL, UREÑA, CENTRAL,  85, M, M
MARTINA, ZUÑIGA, VAZQUEZ DE CORONADO,  13, F, F
GUIDO, ARAYA, CENTRAL,  61, M, F
JOSE JOAQUIN, QUIROS, CENTRAL,  80, M, F
RICARDO, ZUÑIGA, BUENOS AIRES,  44, M, F
LASTENIA, MESEN, LA UNION,  46, F, N
HAYDEE, ZAMORA, CENTRAL,  43, F, N
DANIEL, NUÑEZ, CENTRAL,  67, M, A
SOLEDAD, MARIN, CENTRAL,  21, F, F
MARGARITA, CHAVES, DESAMPARADOS,  89, F, A
MARGARITA, MORA, CURRIDABAT,  55, F, A
OTILIA, CASTILLO, CENTRAL,  30, F, F
MARIA CELINA, MONGE, MONTES DE OCA,  27, F, A
AURORA, ELIZONDO, MORA,  58, F, A
LUZ MARIA, GONZALEZ, BELEN,  87, F, A
MARIA, SOLIS, MORAVIA,  62, F, N
CARMELINA, CORDERO, EL GUARCO,  46, F, N
MARIA DEL CARMEN, FONSECA, SAN CARLOS,  62, F, N
MIGUEL GUILLERMO, MONTOYA, ESCAZU,  45, M, A
MARIA, LIZANO, CENTRAL,  52, F, A
MIGUEL ANGEL, VALVERDE, MORAVIA,  79, M, A
CARMEN LIA, PORRAS, PARRITA,  31, F, F
ARACELLY, ZUÑIGA, TARRAZU,  38, F, A
JUAN ALEJANDRO, FERNANDEZ, DESAMPARADOS,  60, M, M
CARLOS LUIS, CORRALES, CENTRAL,  20, M, A
ELIECER, CHAVES, ESCAZU,  86, M, A
BENJAMIN, MENA, PEREZ ZELEDON,  86, M, A
ALEJANDRO, DELGADO, PEREZ ZELEDON,  32, M, A
FRANCISCO, CORDERO, GOICOECHEA,  29, M, A
EMILIA GLORIA, GARCIA, CENTRAL,  87, F, N
BETTY, CHAVES, SAN ISIDRO,  82, F, N
MARIA LUISA, CHAVARRIA, GOICOECHEA,  84, F, N
JUAN CARLOS, MORA, SAN CARLOS,  73, M, N
NOEMI, CAMACHO, CENTRAL,  85, F, A
JUAN GREGORIO, CHACON, MORAVIA,  83, M, M
MAGDALENA, PIEDRA, PARRITA,  49, F, M
CARMELINA, FERNANDEZ, PURISCAL,  57, F, F
RAFAEL, JIMENEZ, PEREZ ZELEDON,  36, M, F
AQUILES, AGUERO, PEREZ ZELEDON,  14, M, A
REFUGIO, AGUILAR, LEON CORTES CASTRO,  13, F, F
MENCIA, SOLIS, GOICOECHEA,  24, F, N
LUCIA, SOTO, MORAVIA,  89, F, A
JOSE RAFAEL, FALLAS, MORAVIA,  47, M, A
TERESA, CAVALLINI, CENTRAL,  31, F, A
MARGARITA, MONTERO, SANTA ANA,  36, F, A
GONZALO, GUERRERO, QUEPOS,  44, M, F
MELIDA, ACUÑA, PEREZ ZELEDON,  61, F, F
MARIA ISABEL, BADILLA, ESCAZU,  77, F, M
CLEMENCIA, AZOFEIFA, ESCAZU,  45, F, M
MARIA CLEMENCIA, MORA, DESAMPARADOS,  63, F, A
JUAN, BONILLA, PEREZ ZELEDON,  11, M, N
DORA, BARBOZA, DESAMPARADOS,  12, F, M
EFRAIN, CHACON, PEREZ ZELEDON,  22, M, A
PEREGRINA CARMEN, MENA, POCOCI,  45, F, M
SILVIA, ESQUIVEL, DESAMPARADOS,  57, F, N
DORILA, CAMBRONERO, BELEN,  31, F, A
RAMON, CESPEDES, MORA,  78, M, N
MANUEL ANTONIO, ANGULO, DOTA,  79, M, F
CARMEN, CHINCHILLA, TIBAS,  25, F, M
DORA, ZAMORA, MORAVIA,  48, F, N
GLADYS, RODRIGUEZ, DESAMPARADOS,  10, F, N
COSME, NUÑEZ, SAN MATEO,  78, M, N
ANA MARIA, CORDERO, GOICOECHEA,  25, F, F
MARIA ELENA, AMADOR, CENTRAL,  64, F, M
MIGUEL ANGEL, DELGADO, BELEN,  88, M, F
ABEL, AMADOR, MORAVIA,  62, M, F
MARIANA, SALAZAR, TIBAS,  80, F, F
IRMA, MORALES, DESAMPARADOS,  48, F, F
CARLOS, LOPEZ, PURISCAL,  17, M, M
LAUREANA, CAMBRONERO, MONTES DE OCA,  38, F, M
ARNOLDO, QUESADA, LA UNION,  87, M, M
MARIA LUISA, RODRIGUEZ, SANTO DOMINGO,  55, F, N
MARIA CECILIA, RODRIGUEZ, SANTO DOMINGO,  59, F, N
ESPERANZA, PALAVICINI, GOICOECHEA,  40, F, A
DAISY, RAMIREZ, CENTRAL,  21, F, M
ANANIAS, FERNANDEZ, PURISCAL,  25, M, A
CLETO, SOLIS, MORA,  78, M, M
FROILAN, VARGAS, OSA,  88, M, M
RAFAELA DE LOS ANGELES, CHINCHILLA, CENTRAL,  59, F, F
ISABEL, SOLIS, CENTRAL,  69, F, F
OLGA, RODRIGUEZ, CENTRAL,  80, F, A
AMALIA, DIAZ, CURRIDABAT,  63, F, N
ELVIRA, BERMUDEZ, SANTA ANA,  45, F, F
AMABLE, GONZALEZ, TIBAS,  14, F, M
CARMEN, AGUILAR, ESCAZU,  86, F, M
EMMA, HERNANDEZ, GOICOECHEA,  80, F, F
RAFAELA, SANCHEZ, PEREZ ZELEDON,  24, F, M
TRINIDAD, ARIAS, LEON CORTES CASTRO,  25, M, N
MARIANO, MONGE, CURRIDABAT,  11, M, F
ELODIA, JIMENEZ, PEREZ ZELEDON,  35, F, M
MARIA ROSARIO, CECILIANO, VAZQUEZ DE CORONADO,  38, F, A
RODRIGO, MORA, GOICOECHEA,  68, M, N
FULVIO ANGEL, SOTO, CENTRAL,  36, M, N
MARGARITA, GOMEZ, CENTRAL,  55, F, F
MARIA DE LOS ANGELES, ROJAS, QUEPOS,  85, F, F
PEREGRINA, JIMENEZ, SIQUIRRES,  31, F, M
ZELMIRA, SANDOVAL, CENTRAL,  66, F, N
AZIADEE, ESTRADA, CENTRAL,  48, F, N
ANIBAL, FALLAS, CENTRAL,  74, M, F
ANGELES, MUÑOZ, PEREZ ZELEDON,  16, F, F
HILARIA, BLANCO, GOICOECHEA,  26, F, A
TALIA, ARIAS, MORAVIA,  71, F, F
MIGUEL, MORA, ASERRI,  36, M, F
AIDA, MERINO, CENTRAL,  48, F, F
ESTRELLA, CHINCHILLA, CENTRAL,  63, F, N
MARTA, CORDERO, TIBAS,  46, F, N
JOAQUIN, NAVARRO, TARRAZU,  79, M, F
FLOR DE MARIA, MORGAN, MONTES DE OCA,  35, F, M
JOSE JOAQUIN, MONTERO, PEREZ ZELEDON,  10, M, M
NINFA, ALVARADO, SAN CARLOS,  44, F, N
JUAN JOSE, CHAVES, JIMENEZ,  21, M, M
MARIA CRISTINA, QUIROS, TIBAS,  57, F, M
RAMON, GARRO, EL GUARCO,  90, M, M
EDGAR, ESQUIVEL, MORAVIA,  81, M, N
JUAN RAFAEL, RAMIREZ, ALAJUELITA,  86, M, N
ANTONIO, CHINCHILLA, ALAJUELITA,  77, M, F
CARMEN IDA, TREJOS, CURRIDABAT,  45, F, F
BENIGNO, ABARCA, LA UNION,  76, M, N
ELENA, SANCHEZ, ASERRI,  42, F, A
JULIAN, MENDEZ, CENTRAL,  63, M, A
BEATRIZ, RAWSON, CURRIDABAT,  8, F, A
BLANCA ROSA, MONTERO, CENTRAL,  56, F, F
MARIA DEL ROSARIO, MONTES DE OCA, CENTRAL,  64, F, F
LUZMILDA, CERDAS, COTO BRUS,  31, F, M
RICARDO, CASTRO, SANTA ANA,  44, M, F
NOEMY, CHAVARRIA, CENTRAL,  38, F, M
WALLACE STANLEY, SCHUMACHER, GOICOECHEA,  36, M, N
ISABEL, NARANJO, CENTRAL,  88, F, F
OLGA, LEON, ESCAZU,  29, F, F
MARIA TERESA, HERRERA, ESCAZU,  63, F, F
MARIA DEL ROSARIO, HERRERA, ESCAZU,  85, F, M
ASDRUBAL, MUÑOZ, CURRIDABAT,  56, M, M
MARIA TERESA, REDONDO, CENTRAL,  22, F, F
JOSE, CALDERON, SAN RAMON,  75, M, F
MARIA LUISA, SOLANO, CENTRAL,  45, F, M
PIEDADES, ACUÑA, OSA,  12, F, F
JOSEFA, MONTERO, CENTRAL,  57, F, N
JOSE MARIA, ZUÑIGA, TARRAZU,  46, M, F
OMAR, CALDERON, GOLFITO,  77, M, F
ANGELINA, RODRIGUEZ, SAN RAMON,  81, F, A
WILFRIDO, AGUILAR, TIBAS,  17, M, F
MARGARITA, UMAÑA, MORAVIA,  18, F, M
CLAUDIO, FERNANDEZ, VAZQUEZ DE CORONADO,  49, M, M
EMMANUEL, HERNANDEZ, QUEPOS,  64, M, N
LUCIA, GALARZA, CURRIDABAT,  12, F, A
EIDA, LEON, CENTRAL,  57, F, F
OLGA, RODRIGUEZ, CENTRAL,  72, F, N
MARIA, RODRIGUEZ, CENTRAL,  58, F, N
AIDEE, DURAN, CENTRAL,  85, F, A
NELLY, CASTRO, CENTRAL,  51, F, M
GUILLERMO, AMADOR, GOICOECHEA,  48, M, F
ABDON, PEREZ, LA UNION,  83, M, N
MARIA DE LOS ANGELES, CASTILLO, PEREZ ZELEDON,  87, F, A
ROSARIO, GARITA, CENTRAL,  82, M, A
ARIEL, CARDENAS, MATINA,  39, M, N
ALICIA, CAMPOS, TURRIALBA,  41, F, N
GLADYS, ZAPATA, DESAMPARADOS,  55, F, A
MARIA CECILIA, PACHECO, SANTO DOMINGO,  48, F, F
SONIA, DIAZ, SANTO DOMINGO,  63, F, A
ISMAEL, TORRES, PEREZ ZELEDON,  8, M, M
ABEL, MORA, CORREDORES,  81, M, A
MARIA CRISTINA, ALVARADO, CENTRAL,  45, F, F
FERNANDO, MATA, DOTA,  51, M, N
ANGELA, CORDERO, CENTRAL,  23, F, M
FRANCISCA, VARGAS, PEREZ ZELEDON,  27, F, M
HECTOR, MADRIGAL, PURISCAL,  69, M, M
DAISY, VARGAS, DESAMPARADOS,  54, F, M
AURORA, MORA, CENTRAL,  50, F, M
ENRIQUETA, LASCAREZ, CENTRAL,  61, F, F
ANANIAS, BURGOS, PEREZ ZELEDON,  60, M, F
RAFAEL, CORRALES, ASERRI,  35, M, N
ILUMINADA, CERDAS, ASERRI,  18, F, F
JULIO, SEGURA, ACOSTA,  37, M, N
AURORA, FERNANDEZ, CENTRAL,  29, F, M
JORGE ENRIQUE, TAYLOR, POCOCI,  81, M, F
JESUS, SALAZAR, VAZQUEZ DE CORONADO,  26, M, F
NELLY, GUZMAN, PEREZ ZELEDON,  33, F, F
ALBERTINA, ZARATE, ASERRI,  10, F, N
ELIDA, MONGE, CENTRAL,  24, F, N
ANITA, SEGURA, PEREZ ZELEDON,  59, F, F
ADILIA, AGUERO, POAS,  60, F, F
VIRGINIA, DIAZ, MONTES DE OCA,  28, F, M
MARGARITA, HIDALGO, SAN PABLO,  64, F, M
MARCELO, FERNANDEZ, CENTRAL,  21, M, M
PIEDADES, GUZMAN, OSA,  22, F, M
ANGEL, ALPIZAR, CENTRAL,  48, M, F
ROSALIA, MARIN, CENTRAL,  68, F, A
BERTINA, ABARCA, GOICOECHEA,  35, F, M
MARIA CRISTINA, MONGE, DESAMPARADOS,  90, F, A
PEREGRINA, VALVERDE, POCOCI,  23, F, M
SERGIO, VENEGAS, QUEPOS,  23, M, A
GABELO, GAMBOA, ASERRI,  59, M, A
VIRGILIO, GARRO, ASERRI,  76, M, F
JOSE MERCEDES, GARITA, GOICOECHEA,  16, M, M
ZELMIRA, GUTIERREZ, ESCAZU,  76, F, A
MARIO, MEOÑO, CENTRAL,  21, M, F
FLORA, RODO, MORAVIA,  61, F, A
INES, FUENTES, CURRIDABAT,  75, F, N
GUILLERMO ANTONIO, ROJAS, CENTRAL,  82, M, F
CARLOMAGNO, JIMENEZ, PURISCAL,  19, M, N
ROSARIO, QUESADA, MORAVIA,  14, F, N
CARMEN, SANDI, TURRIALBA,  26, F, F
IDALI, MORA, CENTRAL,  57, F, F
JOSE, ANCHIA, PURISCAL,  32, M, M
MIGUEL, VALVERDE, PURISCAL,  9, M, A
FLORA, MUÑOZ, CENTRAL,  14, F, M
IRMA DE JESUS, SOLERA, GOICOECHEA,  56, F, M
RAFAEL ANGEL, BRENES, CENTRAL,  48, M, N
VIRGINIA, KEITH, SAN ISIDRO,  90, F, F
BENEDICTO, RODRIGUEZ, OSA,  45, M, F
ADELIA, GAMBOA, PEREZ ZELEDON,  44, F, N
ADILIA, MORA, ACOSTA,  18, F, A
IRENE MARGARITA, VASQUEZ, CENTRAL,  74, F, F
YOLANDA, CASTRO, CENTRAL,  26, F, F
BEATRIZ, CHINCHILLA, MORA,  27, F, F
MARIA ADORACION, SOLANO, DESAMPARADOS,  66, F, F
MARTA, CRUZ, CENTRAL,  82, F, M
MARIA CRISTINA, DIAZ, GOICOECHEA,  60, F, A
ANGELA, QUESADA, MORAVIA,  88, F, A
JOSE ANTONIO, RAMIREZ, CENTRAL,  33, M, F
AIDA, FONSECA, DESAMPARADOS,  86, F, M
MARCO TULIO, SOLIS, TIBAS,  67, M, N
IDILIA, UGALDE, CENTRAL,  17, F, F
REGINA, CAMPOS, COTO BRUS,  15, F, M
LIA, ROJAS, VALVERDE VEGA,  36, F, F
ISABEL, MENDEZ, LA UNION,  79, F, N
CARMEN LIDIA, ALVARADO, CENTRAL,  14, F, F
ZOILA, CARRANZA, DESAMPARADOS,  71, F, F
DAISY, ZUÑIGA, PEREZ ZELEDON,  61, F, N
JOSE ROGELIO, GAMBOA, LEON CORTES CASTRO,  30, M, M
GUIDO, ROJAS, PEREZ ZELEDON,  68, M, F
EUSTOLIA, MORA, BUENOS AIRES,  21, F, A
ZULAY, CHINCHILLA, ASERRI,  20, F, A
MERCEDES, BONILLA, GOICOECHEA,  48, F, F
LUZ BRIGIDA, DELGADO, SANTA ANA,  81, F, F
MIGUEL, FUENTES, ACOSTA,  62, M, A
DULCELINA, HIDALGO, DESAMPARADOS,  35, F, N
GONZALO, FALLAS, MORAVIA,  79, M, F
OSVALDO, HIDALGO, ACOSTA,  76, M, N
TRINIDAD, SABORIO, GOICOECHEA,  67, F, N
CASIMIRO, PICADO, DESAMPARADOS,  40, M, M
CARMEN, CASTRO, CENTRAL,  16, F, A
MIRIAM, SOTO, MORAVIA,  71, F, F
ROSARIO, AGUERO, TIBAS,  39, F, F
LETICIA, JIMENEZ, MONTES DE OCA,  66, F, F
FLORY, RODRIGUEZ, MONTES DE OCA,  67, F, M
MARIA EUGENIA, ALVARADO, TIBAS,  41, F, M
ADELISA, GAMEZ, CENTRAL,  72, F, A
MARIA EUGENIA, SANCHO, CENTRAL,  38, F, M
JULIETA, ARDON, GOICOECHEA,  54, F, M
RUTH EVANGELINA, ZUÑIGA, CENTRAL,  38, F, M
JOSE ANTONIO, PORRAS, PALMARES,  58, M, A
LETICIA, LOAIZA, TIBAS,  65, F, M
ALBERTO, ODIO, ESCAZU,  33, M, M
ISOLINA, GOMEZ, MONTES DE OCA,  68, F, A
WILLY, CASTRO, CENTRAL,  61, M, N
ANTONIA, BADILLA, CENTRAL,  63, F, N
JUAN ANTONIO, SALAZAR, VAZQUEZ DE CORONADO,  88, M, N
BERNARDO, MARIN, DESAMPARADOS,  53, M, A
ALBA, SANCHEZ, CENTRAL,  27, F, A
MARIA CELINA, SANCHO, DESAMPARADOS,  49, F, A
ZORAIDA, CHACON, DESAMPARADOS,  38, F, M
LUZMILDA, MUÑOZ, DESAMPARADOS,  32, F, F
GLORIA MARIA, SALAZAR, PURISCAL,  77, F, M
ALEJANDRA, BARBOZA, TIBAS,  15, F, F
PETRONILA, BARBOZA, SARAPIQUI,  62, F, A
DIGNA, SANDI, CENTRAL,  44, F, A
CARLOS, UMAÑA, PEREZ ZELEDON,  44, M, A
SILVINA, SEGURA, DESAMPARADOS,  54, F, A
JOSE ANGEL, ALFARO, UPALA,  77, M, M
NOEMY, BUSTAMANTE, BUENOS AIRES,  80, F, M
ALICIA, NAVARRO, GOICOECHEA,  20, F, F
TRINIDAD, CRUZ, GOICOECHEA,  67, F, F
CONSUELO, GUTIERREZ, GOICOECHEA,  27, F, F
JOAQUINA, TENORIO, GOICOECHEA,  43, F, F
JOSE ANTONIO, MOREIRA, PARRITA,  60, M, F
ESPIRITU, MARIN, PEREZ ZELEDON,  55, M, N
ESTERLINA, ZUÑIGA, CENTRAL,  89, F, N
RUFINA, MORA, CENTRAL,  44, F, M
ISABEL, MUÑOZ, VAZQUEZ DE CORONADO,  59, F, A
ELVIRA, MUÑOZ, PARRITA,  78, F, F
CARLOS, MONGE, MATINA,  53, M, F
SOCORRO, PRADO, ACOSTA,  20, F, F
CRISPIN, CHINCHILLA, GUACIMO,  45, M, N
INDALECIO, FALLAS, DESAMPARADOS,  47, M, A
IVAN, ESQUIVEL, CENTRAL,  27, M, A
ROSARIO, CALDERON, DESAMPARADOS,  30, F, A
YOLANDA, DURAN, GOICOECHEA,  52, F, F
ARTURO, ARAYA, CENTRAL,  13, M, N
JESUS, DELGADO, ALAJUELITA,  64, M, A
CARIDAD, DURAN, PEREZ ZELEDON,  46, F, F
